year;region;salary
2017;Чечня;20525.0
2017;Чувашия;24315.0
2017;Чукотский автономный округ;80796.0
2017;Якутия;57425.0
2017;Ямало-Ненецкий автономный округ;84214.0
2017;Ярославская область;30709.0
2019;Адыгея;28920.0
2019;Алтайский край;29162.0
2019;Амурская область;50670.0
2019;Архангельская область;50724.0
2019;Астраханская область;34591.0
2019;Башкортостан;38399.0
2019;Белгородская область;35037.0
2019;Брянская область;29980.0
2019;Бурятия;39139.0
2019;Владимирская область;33489.0
2019;Волгоградская область;31773.0
2019;Вологодская область;40286.0
2019;Воронежская область;34895.0
2019;Дагестан;24973.0
2019;Еврейская автономная область;40989.0
2019;Забайкальский край;42443.0
2019;Ивановская область;27846.0
2019;Ингушетия;24769.0
2019;Иркутская область;47249.0
2019;Кабардино-Балкария;26110.0
2019;Калининградская область;38930.0
2019;Калмыкия;26342.0
2019;Калужская область;41125.0
2019;Камчатский край;81261.0
2019;Карачаево-Черкесия;26782.0
2019;Карелия;42996.0
2019;Кемеровская область;42113.0
2019;Кировская область;30167.0
2019;Костромская область;29922.0
2019;Краснодарский край;36810.0
2019;Красноярский край;50280.0
2019;Крым;30745.0
2019;Курганская область;30114.0
2019;Курская область;32000.0
2019;Ленинградская область;49972.0
2019;Липецкая область;35180.0
2019;Магаданская область;90939.0
2019;Марий Эл;29145.0
2019;Мордовия;28245.0
2019;Москва;96042.0
2019;Московская область;56722.0
2019;Мурманская область;64221.0
2019;Ненецкий автономный округ;81720.0
2019;Нижегородская область;38058.0
2019;Новгородская область;35081.0
2019;Новосибирская область;41181.0
2019;Омская область;34479.0
2019;Оренбургская область;34043.0
2019;Орловская область;27823.0
2019;Пензенская область;29892.0
2019;Пермский край;38914.0
2019;Приморский край;50112.0
2019;Псковская область;28710.0
2019;Республика Алтай;30335.0
2019;Республика Коми;54815.0
2019;Республика Тыва;35488.0
2019;Ростовская область;33961.0
2019;Рязанская область;34030.0
2019;Самарская область;37161.0
2019;Санкт-Петербург;66262.0
2019;Саратовская область;30115.0
2019;Сахалинская область;88015.0
2019;Свердловская область;42833.0
2019;Севастополь;35480.0
2019;Северная Осетия;27662.0
2019;Смоленская область;32380.0
2019;Ставропольский край;30046.0
2019;Тамбовская область;29089.0
2019;Татарстан;38046.0
2019;Тверская область;33821.0
2019;Томская область;42429.0
2019;Тульская область;38497.0
2019;Тюменская область;50444.0
2019;Удмуртия;33319.0
2019;Ульяновская область;31335.0
2019;Хабаровский край;53454.0
2019;Хакасия;38902.0
2019;Ханты-Мансийский автономный округ;72067.0
2019;Челябинская область;38728.0
2019;Чечня;27089.0
2019;Чувашия;29516.0
2019;Чукотский автономный округ;90419.0
2019;Якутия;69372.0
2019;Ямало-Ненецкий автономный округ;93462.0
2019;Ярославская область;36034.0
