year;region;ec_crime_per
2014;Калмыкия;9.68
2014;Калужская область;9.0
2014;Камчатский край;9.66
2014;Карачаево-Черкесия;11.2
2014;Карелия;8.53
2014;Кемеровская область;5.0
2014;Кировская область;7.59
2014;Костромская область;10.62
2014;Краснодарский край;6.74
2014;Красноярский край;5.84
2014;Крым;1.96
2014;Курганская область;8.01
2014;Курская область;5.82
2014;Ленинградская область;5.53
2014;Липецкая область;6.68
2014;Магаданская область;11.11
2014;Марий Эл;6.03
2014;Мордовия;16.01
2014;Москва;7.1
2014;Московская область;5.8
2014;Мурманская область;6.9
2014;Ненецкий автономный округ;8.6
2014;Нижегородская область;5.88
2014;Новгородская область;10.91
2014;Новосибирская область;6.23
2014;Омская область;10.04
2014;Оренбургская область;4.25
2014;Орловская область;8.64
2014;Пензенская область;5.05
2014;Пермский край;5.11
2014;Приморский край;4.62
2014;Псковская область;5.33
2014;Республика Алтай;8.03
2014;Республика Коми;8.65
2014;Республика Тыва;4.75
2014;Ростовская область;6.33
2014;Рязанская область;7.99
2014;Самарская область;7.93
2014;Санкт-Петербург;4.85
2014;Саратовская область;5.66
2014;Сахалинская область;9.78
2014;Свердловская область;6.67
2014;Севастополь;2.19
2014;Северная Осетия;17.29
2014;Смоленская область;8.4
2014;Ставропольский край;9.3
2014;Тамбовская область;5.49
2014;Татарстан;6.78
2014;Тверская область;6.74
2014;Томская область;4.55
2014;Тульская область;7.24
2014;Тюменская область;6.84
2014;Удмуртия;8.74
2014;Ульяновская область;6.4
2014;Хабаровский край;6.69
2014;Хакасия;7.55
2014;Ханты-Мансийский автономный округ;5.32
2014;Челябинская область;6.46
2014;Чечня;2.54
2014;Чувашия;10.98
2014;Чукотский автономный округ;6.53
2014;Якутия;4.45
2014;Ямало-Ненецкий автономный округ;8.26
2014;Ярославская область;3.77
2015;Адыгея;11.29
2015;Алтайский край;5.44
2015;Амурская область;4.77
2015;Архангельская область;10.43
2015;Астраханская область;10.32
2015;Башкортостан;5.35
2015;Белгородская область;5.18
2015;Брянская область;4.36
2015;Бурятия;7.66
2015;Владимирская область;6.59
2015;Волгоградская область;10.15
2015;Вологодская область;7.76
2015;Воронежская область;7.04
2015;Дагестан;6.94
2015;Еврейская автономная область;5.88
2015;Забайкальский край;11.01
2015;Ивановская область;8.39
2015;Ингушетия;8.6
2015;Иркутская область;7.26
2015;Кабардино-Балкария;15.23
2015;Калининградская область;8.32
2015;Калмыкия;10.12
2015;Калужская область;7.2
2015;Камчатский край;9.05
2015;Карачаево-Черкесия;11.96
2015;Карелия;8.62
2015;Кемеровская область;5.62
2015;Кировская область;8.23
2015;Костромская область;8.73
2015;Краснодарский край;7.24
2015;Красноярский край;6.71
2015;Крым;4.46
2015;Курганская область;6.46
2015;Курская область;5.83
2015;Ленинградская область;4.75
2015;Липецкая область;6.11
2015;Магаданская область;12.49
2015;Марий Эл;4.95
2015;Мордовия;12.81
2015;Москва;7.54
2015;Московская область;5.29
2015;Мурманская область;6.54
2015;Ненецкий автономный округ;18.68
2015;Нижегородская область;5.13
2015;Новгородская область;7.94
2015;Новосибирская область;8.05
2015;Омская область;9.66
2015;Оренбургская область;4.01
2015;Орловская область;9.8
2015;Пензенская область;4.82
2015;Пермский край;7.15
2015;Приморский край;6.13
2015;Псковская область;5.94
2015;Республика Алтай;8.47
2015;Республика Коми;9.65
2015;Республика Тыва;5.35
2015;Ростовская область;6.98
2015;Рязанская область;9.49
2015;Самарская область;6.7
2015;Санкт-Петербург;5.29
2015;Саратовская область;5.88
2015;Сахалинская область;10.46
2015;Свердловская область;6.72
2015;Севастополь;8.22
2015;Северная Осетия;15.28
2015;Смоленская область;9.4
2015;Ставропольский край;11.83
2015;Тамбовская область;5.14
2015;Татарстан;7.53
2015;Тверская область;8.24
2015;Томская область;5.86
2015;Тульская область;5.82
2015;Тюменская область;6.62
2015;Удмуртия;6.59
2015;Ульяновская область;6.91
2015;Хабаровский край;7.2
2015;Хакасия;6.83
2015;Ханты-Мансийский автономный округ;5.72
2015;Челябинская область;6.44
2015;Чечня;3.0
2015;Чувашия;8.34
2015;Чукотский автономный округ;8.11
2015;Якутия;4.61
2015;Ямало-Ненецкий автономный округ;7.11
2015;Ярославская область;5.14
2016;Адыгея;9.37
2016;Алтайский край;4.43
2016;Амурская область;6.16
2016;Архангельская область;8.44
2016;Астраханская область;8.05
2016;Башкортостан;5.35
2016;Белгородская область;5.73
2016;Брянская область;4.42
2016;Бурятия;7.91
2016;Владимирская область;7.33
2016;Волгоградская область;7.79
2016;Вологодская область;7.57
2016;Воронежская область;6.19
2016;Дагестан;7.23
2016;Еврейская автономная область;8.25
2016;Забайкальский край;10.53
2016;Ивановская область;6.48
2016;Ингушетия;4.89
2016;Иркутская область;6.02
2016;Кабардино-Балкария;11.6
2016;Калининградская область;7.72
