year;region;crime_per
2016;Архангельская область;176.9
2016;Астраханская область;136.39
2016;Башкортостан;160.51
2016;Белгородская область;88.48
2016;Брянская область;129.07
2016;Бурятия;239.02
2016;Владимирская область;136.98
2016;Волгоградская область;152.17
2016;Вологодская область;216.59
2016;Воронежская область;147.29
2016;Дагестан;52.43
2016;Еврейская автономная область;206.12
2016;Забайкальский край;273.85
2016;Ивановская область;139.88
2016;Ингушетия;37.86
2016;Иркутская область;194.83
2016;Кабардино-Балкария;88.96
2016;Калининградская область;135.43
2016;Калмыкия;105.87
2016;Калужская область;160.36
2016;Камчатский край;185.31
2016;Карачаево-Черкесия;75.22
2016;Карелия;213.76
2016;Кемеровская область;214.94
2016;Кировская область;167.63
2016;Костромская область;134.75
2016;Краснодарский край;129.69
2016;Красноярский край;199.71
2016;Крым;124.52
2016;Курганская область;224.54
2016;Курская область;108.84
2016;Ленинградская область;98.57
2016;Липецкая область;106.99
2016;Магаданская область;204.04
2016;Марий Эл;105.18
2016;Мордовия;105.28
2016;Москва;141.04
2016;Московская область;120.65
2016;Мурманская область;197.61
2016;Ненецкий автономный округ;174.05
2016;Нижегородская область;123.42
2016;Новгородская область;194.68
2016;Новосибирская область;163.64
2016;Омская область;148.36
2016;Оренбургская область;136.51
2016;Орловская область;122.58
2016;Пензенская область;91.34
2016;Пермский край;190.08
2016;Приморский край;203.08
2016;Псковская область;146.94
2016;Республика Алтай;224.58
2016;Республика Коми;222.27
2016;Республика Тыва;345.78
2016;Ростовская область;136.19
2016;Рязанская область;84.28
2016;Самарская область;137.56
2016;Санкт-Петербург;100.18
2016;Саратовская область;100.61
2016;Сахалинская область;251.35
2016;Свердловская область;146.54
2016;Севастополь;137.0
2016;Северная Осетия;99.98
2016;Смоленская область;142.67
2016;Ставропольский край;122.56
2016;Тамбовская область;115.95
2016;Татарстан;124.46
2016;Тверская область;160.89
2016;Томская область;189.75
2016;Тульская область;79.71
2016;Тюменская область;188.82
2016;Удмуртия;172.82
2016;Ульяновская область;121.83
2016;Хабаровский край;202.38
2016;Хакасия;205.89
