year;region;unsolved
2015;Ульяновская область;37.62
2015;Хабаровский край;43.87
2015;Хакасия;38.9
2015;Ханты-Мансийский автономный округ;36.3
2015;Челябинская область;44.19
2015;Чечня;14.1
2015;Чувашия;31.83
2015;Чукотский автономный округ;21.5
2015;Якутия;26.07
2015;Ямало-Ненецкий автономный округ;42.71
2015;Ярославская область;46.22
2016;Адыгея;37.68
2016;Алтайский край;37.38
2016;Амурская область;46.31
2016;Архангельская область;40.03
2016;Астраханская область;31.17
2016;Башкортостан;49.36
2016;Белгородская область;41.37
2016;Брянская область;41.77
2016;Бурятия;37.37
2016;Владимирская область;39.43
2016;Волгоградская область;48.79
2016;Вологодская область;46.29
2016;Воронежская область;61.32
2016;Дагестан;18.62
2016;Еврейская автономная область;44.25
2016;Забайкальский край;45.88
2016;Ивановская область;47.09
2016;Ингушетия;43.58
2016;Иркутская область;44.62
2016;Кабардино-Балкария;32.67
2016;Калининградская область;45.49
2016;Калмыкия;28.67
2016;Калужская область;49.66
2016;Камчатский край;35.88
2016;Карачаево-Черкесия;27.85
2016;Карелия;47.07
2016;Кемеровская область;41.2
2016;Кировская область;37.04
2016;Костромская область;35.7
2016;Краснодарский край;47.85
2016;Красноярский край;43.85
2016;Крым;51.42
2016;Курганская область;35.65
2016;Курская область;29.41
2016;Ленинградская область;42.56
2016;Липецкая область;34.21
2016;Магаданская область;35.5
2016;Марий Эл;38.0
2016;Мордовия;26.74
2016;Москва;74.23
2016;Московская область;43.88
2016;Мурманская область;50.83
2016;Ненецкий автономный округ;42.2
2016;Нижегородская область;44.88
2016;Новгородская область;45.11
2016;Новосибирская область;51.03
2016;Омская область;41.92
2016;Оренбургская область;38.55
2016;Орловская область;54.09
2016;Пензенская область;28.46
2016;Пермский край;41.94
2016;Приморский край;49.71
2016;Псковская область;46.72
2016;Республика Алтай;26.72
2016;Республика Коми;41.56
2016;Республика Тыва;52.08
2016;Ростовская область;48.62
2016;Рязанская область;29.35
2016;Самарская область;34.74
2016;Санкт-Петербург;50.63
2016;Саратовская область;38.44
2016;Сахалинская область;48.95
2016;Свердловская область;41.51
2016;Севастополь;48.59
2016;Северная Осетия;31.01
2016;Смоленская область;41.11
2016;Ставропольский край;43.1
2016;Тамбовская область;34.08
2016;Татарстан;43.72
2016;Тверская область;56.57
2016;Томская область;48.01
2016;Тульская область;37.58
2016;Тюменская область;46.18
2016;Удмуртия;38.29
2016;Ульяновская область;46.98
2016;Хабаровский край;48.5
2016;Хакасия;32.48
2016;Ханты-Мансийский автономный округ;38.38
2016;Челябинская область;42.11
2016;Чечня;13.0
2016;Чувашия;36.12
2016;Чукотский автономный округ;35.25
2016;Якутия;29.48
2016;Ямало-Ненецкий автономный округ;45.6
2016;Ярославская область;52.68
2017;Адыгея;32.06
2017;Алтайский край;34.88
2017;Амурская область;38.43
2017;Архангельская область;39.33
2017;Астраханская область;29.16
2017;Башкортостан;44.72
2017;Белгородская область;42.06
2017;Брянская область;41.66
2017;Бурятия;41.86
2017;Владимирская область;39.43
2017;Волгоградская область;49.73
2017;Вологодская область;43.06
2017;Воронежская область;56.75
2017;Дагестан;13.21
2017;Еврейская автономная область;41.03
2017;Забайкальский край;42.81
2017;Ивановская область;43.69
2017;Ингушетия;43.28
2017;Иркутская область;43.41
2017;Кабардино-Балкария;33.45
2017;Калининградская область;54.52
2017;Калмыкия;26.88
2017;Калужская область;38.89
2017;Камчатский край;37.88
2017;Карачаево-Черкесия;23.07
2017;Карелия;42.96
2017;Кемеровская область;42.06
2017;Кировская область;37.0
2017;Костромская область;35.21
2017;Краснодарский край;44.82
2017;Красноярский край;39.88
2017;Крым;40.89
2017;Курганская область;36.76
2017;Курская область;29.05
2017;Ленинградская область;40.73
2017;Липецкая область;32.2
2017;Магаданская область;32.33
2017;Марий Эл;38.85
2017;Мордовия;26.61
2017;Москва;67.87
2017;Московская область;42.89
2017;Мурманская область;47.11
2017;Ненецкий автономный округ;30.17
2017;Нижегородская область;52.04
2017;Новгородская область;44.83
2017;Новосибирская область;45.66
2017;Омская область;36.23
2017;Оренбургская область;35.04
2017;Орловская область;45.39
2017;Пензенская область;26.52
2017;Пермский край;38.28
2017;Приморский край;45.66
2017;Псковская область;37.49
2017;Республика Алтай;24.79
2017;Республика Коми;39.03
2017;Республика Тыва;57.25
2017;Ростовская область;47.1
2017;Рязанская область;35.41
2017;Самарская область;36.03
2017;Санкт-Петербург;48.93
2017;Саратовская область;42.56
2017;Сахалинская область;50.66
2017;Свердловская область;40.8
2017;Севастополь;39.82
2017;Северная Осетия;24.1
2017;Смоленская область;41.49
2017;Ставропольский край;43.18
2017;Тамбовская область;35.71
2017;Татарстан;40.32
2017;Тверская область;50.76
2017;Томская область;38.97
2017;Тульская область;39.22
2017;Тюменская область;41.53
2017;Удмуртия;40.93
2017;Ульяновская область;39.08
2017;Хабаровский край;43.97
2017;Хакасия;30.49
2017;Ханты-Мансийский автономный округ;40.98
2017;Челябинская область;43.57
2017;Чечня;11.99
2017;Чувашия;28.49
2017;Чукотский автономный округ;21.91
2017;Якутия;33.87
2017;Ямало-Ненецкий автономный округ;45.91
2017;Ярославская область;48.59
